WKT,Coordinates,Route Name,Route Number
"POINT (120.9824986 14.5865048)",14.5865048, 120.9824986,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9809372 14.5899146)",14.5899146, 120.9809372,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9801615 14.5930603)",14.5930603, 120.9801615,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.984371 14.5995163)",14.5995163, 120.984371,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9859022 14.6069687)",14.6069687, 120.9859022,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9861753 14.6094634)",14.6094634, 120.9861753,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9871317 14.6124782)",14.6124782, 120.9871317,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9910573 14.6161712)",14.6161712, 120.9910573,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9949436 14.6177292)",14.6177292, 120.9949436,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9971437 14.6197303)",14.6197303, 120.9971437,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9993366 14.621745)",14.621745, 120.9993366,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9997543 14.6218993)",14.6218993, 120.9997543,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9889282 14.5610804)",14.5610804, 120.9889282,Baclaran-Dapitan via Mabini,66.0
"POINT (120.9883077 14.5622442)",14.5622442, 120.9883077,Baclaran-Dapitan via Mabini,66.0
"POINT (120.9861923 14.5652131)",14.5652131, 120.9861923,Baclaran-Dapitan via Mabini,66.0
"POINT (120.9854549 14.5667903)",14.5667903, 120.9854549,Baclaran-Dapitan via Mabini,66.0
"POINT (120.9847362 14.568276)",14.568276, 120.9847362,Baclaran-Dapitan via Mabini,66.0
"POINT (120.9844602532694 14.570733238211494)",14.570733238211494, 120.9844602532694,Baclaran-Dapitan via Mabini,66.0
"POINT (120.9830263 14.5740299)",14.5740299, 120.9830263,Baclaran-Dapitan via Mabini,66.0
"POINT (120.9822233 14.5754331)",14.5754331, 120.9822233,Baclaran-Dapitan via Mabini,66.0
