WKT,Longitude,Latitude,Route Name,Route Number
POINT (121.036092169708 14.6231979697085),121.0360922,14.62319797,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.03351 14.6267988),121.03351,14.6267988,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.03351 14.6267988),121.03351,14.6267988,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.043513919708 14.6290912197085),121.0435139,14.62909122,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.046066019708 14.6298638197085),121.046066,14.62986382,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.048480419708 14.6305565197085),121.0484804,14.63055652,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.050822319708 14.6312258197085),121.0508223,14.63122582,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.053012519708 14.6318674197085),121.0530125,14.63186742,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.055250019708 14.6325161197085),121.05525,14.63251612,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.057528419708 14.6331479197085),121.0575284,14.63314792,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.057793919708 14.6319471197085),121.0577939,14.63194712,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.059716769708 14.6300720197085),121.0597168,14.63007202,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.059726619708 14.6294633197085),121.0597266,14.62946332,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.0643245 14.6287332),121.0643245,14.6287332,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.0643245 14.6287332),121.0643245,14.6287332,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.0643245 14.6287332),121.0643245,14.6287332,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.0552619 14.6283627),121.0552619,14.6283627,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.067510919708 14.6288108197085),121.0675109,14.62881082,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.009493069708 14.5843687197085),121.0094931,14.58436872,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.0112901 14.5854323),121.0112901,14.5854323,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.0112901 14.5854323),121.0112901,14.5854323,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.019459219708 14.5859601197085),121.0194592,14.58596012,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.024765857011 14.5944851633678),121.0247659,14.59448516,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.021285769708 14.5936650197085),121.0212858,14.59366502,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.024957960146 14.5945847164293),121.024958,14.59458472,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.018469699276 14.5969903070176),121.0184697,14.59699031,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.017625959034 14.5976600708789),121.017626,14.59766007,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.0116485 14.5991355),121.0116485,14.5991355,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.9993774 14.6007586999999),120.9993774,14.6007587,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (121.008945919708 14.6009353197085),121.0089459,14.60093532,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.9993774 14.6007586999999),120.9993774,14.6007587,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.9993774 14.6007586999999),120.9993774,14.6007587,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.991603419708 14.6009168697085),120.9916034,14.60091687,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.9890661 14.59742),120.9890661,14.59742,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.9840024 14.5956341697085),120.9840024,14.59563417,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.9840024 14.5956341697085),120.9840024,14.59563417,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.9840024 14.5956341697085),120.9840024,14.59563417,Punta–Quiapo (Barbosa) via Sta. Mesa,99
POINT (120.984589719708 14.6058021197085),120.9845897,14.60580212,Recto-Retiro,100
POINT (120.9847642 14.6045196),120.9847642,14.6045196,Recto-Retiro,100
POINT (120.9847642 14.6045196),120.9847642,14.6045196,Recto-Retiro,100
POINT (120.98758607685 14.612908420948),120.9875861,14.61290842,Recto-Retiro,100
POINT (120.9861981 14.6109975),120.9861981,14.6109975,Recto-Retiro,100
POINT (120.9850394 14.5996872),120.9850394,14.5996872,Recto-Retiro,100
POINT (120.98899395571 14.6191102981606),120.988994,14.6191103,Recto-Retiro,100
POINT (120.987717069708 14.6190365),120.9877171,14.6190365,Recto-Retiro,100
POINT (120.987777119708 14.6225224197085),120.9877771,14.62252242,Recto-Retiro,100
POINT (120.989679919708 14.6243969197085),120.9896799,14.62439692,Recto-Retiro,100
POINT (120.994310569708 14.6286429197085),120.9943106,14.62864292,Recto-Retiro,100
POINT (120.994310569708 14.6286429197085),120.9943106,14.62864292,Recto-Retiro,100
POINT (120.9904552 14.6243903),120.9904552,14.6243903,Recto-Retiro,100
POINT (120.9904552 14.6243903),120.9904552,14.6243903,Recto-Retiro,100
POINT (121.001754572977 14.632727804221),121.0017546,14.6327278,Recto-Retiro,100
POINT (120.9912183 14.6292128),120.9912183,14.6292128,Recto-Retiro,100
POINT (121.006003759358 14.6346401550523),121.0060038,14.63464016,Recto-Retiro,100
POINT (121.025376311574 14.6298574165758),121.0253763,14.62985742,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.024715435807 14.6285828926328),121.0247154,14.62858289,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.0191751 14.6273498697085),121.0191751,14.62734987,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.018684919708 14.6258976197085),121.0186849,14.62589762,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.0184583 14.6294473),121.0184583,14.6294473,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.015639069708 14.6298284697085),121.0156391,14.62982847,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.015639069708 14.6298284697085),121.0156391,14.62982847,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.013814831053 14.6289741501823),121.0138148,14.62897415,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.9991032 14.6175311),120.9991032,14.6175311,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.009182719708 14.6250373697085),121.0091827,14.62503737,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.9991032 14.6175311),120.9991032,14.6175311,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.9991032 14.6175311),120.9991032,14.6175311,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.005634469708 14.6214894197085),121.0056345,14.62148942,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.9991032 14.6175311),120.9991032,14.6175311,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.002987219708 14.6186966197085),121.0029872,14.61869662,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (121.001509019708 14.6176327197085),121.001509,14.61763272,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.997235619708 14.6135330197085),120.9972356,14.61353302,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.991986119708 14.6098287197085),120.9919861,14.60982872,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.991359019708 14.6080435197085),120.991359,14.60804352,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.988143669708 14.6088467197085),120.9881437,14.60884672,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.988143669708 14.6088467197085),120.9881437,14.60884672,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.986534164298 14.5985162581136),120.9865342,14.59851626,"Recto–Roxas District via Quezon Ave., Espana Ave.",101
POINT (120.96975 14.6064),120.96975,14.6064,Divisoria–Gasak via H. Lopez,102
POINT (120.96922 14.60808),120.96922,14.60808,Divisoria–Gasak via H. Lopez,102
POINT (120.96915 14.60982),120.96915,14.60982,Divisoria–Gasak via H. Lopez,102
POINT (120.96956 14.61201),120.96956,14.61201,Divisoria–Gasak via H. Lopez,102
POINT (120.97068 14.61761),120.97068,14.61761,Divisoria–Gasak via H. Lopez,102
