WKT,Coordinates,Route Name,Route Number,,
POINT (121.064958 14.5558382),14.5558382,121.064958,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0643945 14.5548191),14.5548191,121.0643945,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.063972 14.5540098),14.5540098,121.063972,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0633458 14.5526221),14.5526221,121.0633458,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0634142 14.5509963),14.5509963,121.0634142,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.063736 14.5494853),14.5494853,121.063736,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0640371 14.5480087),14.5480087,121.0640371,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0646841 14.5461457),14.5461457,121.0646841,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0664373 14.5451242),14.5451242,121.0664373,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0156319 14.5718764),14.5718764,121.0156319,Libertad-PRC,156,
POINT (121.0148486 14.5703208),14.5703208,121.0148486,Libertad-PRC,156,
POINT (121.0141345 14.5689802),14.5689802,121.0141345,Libertad-PRC,156,
POINT (121.0133312 14.5674639),14.5674639,121.0133312,Libertad-PRC,156,
POINT (121.0125715 14.5660156),14.5660156,121.0125715,Libertad-PRC,156,
POINT (121.0109487 14.5626243),14.5626243,121.0109487,Libertad-PRC,156,
POINT (121.0097821 14.5589902),14.5589902,121.0097821,Libertad-PRC,156,
POINT (121.0081708 14.5581647),14.5581647,121.0081708,Libertad-PRC,156,
POINT (121.0017871 14.5553962),14.5553962,121.0017871,Libertad-PRC,156,
POINT (121.0072756 14.5503509),14.5503509,121.0072756,Libertad-Washington,157,
POINT (121.0101703 14.5510116),14.5510116,121.0101703,Libertad-Washington,157,
POINT (121.010723 14.5566767),14.5566767,121.010723,Libertad-Washington,157,
POINT (121.0128278 14.5515895),14.5515895,121.0128278,Libertad-Washington,157,
POINT (121.0351005 14.5553425),14.5553425,121.0351005,Bel Air - Washington,158,
POINT (121.03067 14.55983),14.55983,121.03067,Bel Air - Washington,158,
POINT (121.0272786 14.5617022),14.5617022,121.0272786,Bel Air - Washington,158,
POINT (121.0224887 14.5622291),14.5622291,121.0224887,Bel Air - Washington,158,
POINT (121.0199 14.5619538),14.5619538,121.0199,Bel Air - Washington,158,
POINT (121.0146474 14.5611766),14.5611766,121.0146474,Bel Air - Washington,158,
POINT (121.0115766 14.559886),14.559886,121.0115766,Bel Air - Washington,158,
POINT (121.00978 14.55899),14.55899,121.00978,Bel Air - Washington,158,
POINT (121.0181189 14.5408042),14.5408042,121.0181189,Kayamanan C-Washington,159,
POINT (121.0166383 14.5442751),14.5442751,121.0166383,Kayamanan C-Washington,159,
POINT (121.0143745 14.548426),14.548426,121.0143745,Kayamanan C-Washington,159,
POINT (121.0107234 14.5566767),14.5566767,121.0107234,Kayamanan C-Washington,159,
POINT (121.0127994 14.5580808),14.5580808,121.0127994,Kayamanan C-Washington,159,
POINT (121.0017889 14.5553982),14.5553982,121.0017889,Guadalupe - Cartimar via Buendia,160,
POINT (121.0038692 14.5560582),14.5560582,121.0038692,Guadalupe - Cartimar via Buendia,160,
POINT (121.0071273 14.5575904),14.5575904,121.0071273,Guadalupe - Cartimar via Buendia,160,
POINT (121.0083425 14.5580921),14.5580921,121.0083425,Guadalupe - Cartimar via Buendia,160,
POINT (121.009936 14.5588939),14.5588939,121.009936,Guadalupe - Cartimar via Buendia,160,
POINT (121.012186 14.5600445),14.5600445,121.012186,Guadalupe - Cartimar via Buendia,160,
POINT (121.0144147 14.5609886),14.5609886,121.0144147,Guadalupe - Cartimar via Buendia,160,
POINT (121.0198787 14.5617983),14.5617983,121.0198787,Guadalupe - Cartimar via Buendia,160,
POINT (121.0225003 14.5620657),14.5620657,121.0225003,Guadalupe - Cartimar via Buendia,160,
POINT (121.02597 14.56193),14.56193,121.02597,Guadalupe - Cartimar via Buendia,160,
POINT (121.0272713 14.561601),14.561601,121.0272713,Guadalupe - Cartimar via Buendia,160,
POINT (121.02868 14.56097),14.56097,121.02868,Guadalupe - Cartimar via Buendia,160,
POINT (121.0302227 14.559991),14.559991,121.0302227,Guadalupe - Cartimar via Buendia,160,
POINT (121.0462237 14.5595358),14.5595358,121.0462237,Guadalupe - Cartimar via Buendia,160,
POINT (121.0462927 14.5607913),14.5607913,121.0462927,Guadalupe - Cartimar via Buendia,160,
POINT (121.0463246 14.5624584),14.5624584,121.0463246,Guadalupe - Cartimar via Buendia,160,
POINT (121.0458568 14.5652213),14.5652213,121.0458568,Guadalupe - Cartimar via Buendia,160,
POINT (121.0129681 14.5740004),14.5740004,121.0129681,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0138038 14.5725723),14.5725723,121.0138038,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.014083 14.5714529),14.5714529,121.014083,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0162137 14.569617),14.569617,121.0162137,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0177942 14.5687686),14.5687686,121.0177942,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0203926 14.5678154),14.5678154,121.0203926,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0272933 14.5652892),14.5652892,121.0272933,Makati PUJ Loop (Start from PRC Terminal),161,
POINT (121.0285904 14.5631668),14.5631668,121.0285904,Makati PUJ Loop (Start from PRC Terminal),161,
